13 naraidhe
13 arindrochrietis
11 morrs
5 mocu
14 muir
10 mutain
8 ainnetach
14 etfrith
1 doerdechtim
7 ailig
6 sechtae
8 apoill
13 chomairle
16 com
2 nargal
3 torgab
1 ntu
13 tuidchid
16 duberr
15 inchu
11 galair
9 toiri
15 scribtar
15 araili
4 choimded
7 ngraid
1 asrindes
14 chorpu
2 nacomlatar
6 naipred
16 nainnid
6 bas
16 marbthai
10 uicti
5 airdbi
14 donemthar
6 nduthrachtaig
3 aidlogo
9 noct
10 augusti
11 fonn
2 beuus
1 diarmada
9 gabais
11 cumgaim
13 loigthiu
11 soimigi
16 dh
15 diti
8 dasachtaigte
5 digi
3 hibernium
16 conuersa
14 cuibdius
14 teidm
7 celi
7 aidi
17 maeluidhir
9 muta
6 toirthech
1 asnindedat
10 frisnorr
8 melacht
11 cce
10 adarcdae
17 ceist
14 mais
1 aporum
1 amil
12 corosan
5 odaitiu
14 ferthaigse
4 attreba
10 cethrai
9 cluaoin
4 rodrir
13 genntibh
15 telchubi
6 nota
5 trimberar
4 ndede
12 chanin
2 cosradh
8 berach
17 rannaid
8 sairdid
16 rrath
14 tairchellad
13 airmiurt
12 buigi
16 tirib
12 chinta
14 doirad
12 cummascaich
16 sechtmogo
16 dunaid
4 menmnig
13 esersitis
12 nerbera
12 dxnigthetad
6 bissextib
4 thaidchur
15 nainmm
12 chtfaid
10 glinne
8 aispenud
3 frituidecht
7 mormer
10 leg
3 ligordae
17 daurauth
11 ardatuaissi
5 nadrobae
5 gniadu
4 ntormnmar
15 thaigibh
5 tuic
10 conrecam
3 fge
3 cs
7 forois
2 atoibiud
11 merbai
7 chosmailsea
8 noidecdi
9 phurt
17 tredan
14 imroimsitis
8 dilgent
17 gaibriel
4 fundamthabartis
6 comairlecea
12 snaib
17 cuius
9 nolabraifitis
17 bras
2 disirt
3 inchoisget
8 forfiat
12 robitha
3 loairnn
5 daimchomarr
14 foirinn
1 essreud
8 cornil
5 anmin
15 tuidmithi
1 sochlachain
11 remnetarcnaigedar
5 pecht
16 connachagluaistis
14 doninola
6 tuistid
3 tairngeri
6 condib
10 atamroipred
17 bolggach
11 secht
3 brn
13 fobrithe
7 am
9 suindiud
9 emilndae
3 ut
10 cheall
5 intiuch
8 niroisset
12 nrchumsanus
11 da
15 rogelt
7 anmchada
9 forrochain
16 martar
6 dtrachtid
5 immdae
11 etarscarthe
5 dea
4 na
14 cain
4 gnia
2 gentilibus
8 namreid
5 dlsiuguth
14 leg
10 ec
1 incertus
10 remcanar
17 canon
9 us
2 cathrur
17 ocu
7 laindrech
6 teothis
4 combe
17 luatho
15 imbim
15 fraude
5 draich
2 dorochuirsemmar
7 cleithi
3 ndusleicet
11 noichtech
13 orcomet
11 sillabae
2 asag
6 leg
11 cuidich
10 hotha
16 dixerunt
9 suacbairi
8 arbera
12 briathar
1 leg
9 ailgal
2 cocc
1 rian
14 foroichlaid
11 uitae
11 hua
14 sol
17 leg
16 comacumul
17 ferr
8 mbalcbrg
11 remenuicsed
16 culaibh
6 cuirp
15 asse
17 tesc
8 apstalacht
7 leg
9 tot
6 doberthar
15 fulngat
17 coimtecht
4 naiss
17 rigi
13 noairiget
3 comograigthi
3 herchoilud
9 asgniintar
5 tuai
16 barnabas
2 m
3 enod
15 radorsat
2 cathmail
6 nara
14 chuincid
13 durairgert
7 chemenn
17 catlone
12 ambat
